noise_sigma,repeat,TPR,Precision,TNR,weight_error,TP,FP,FN
0.07,15,1.0,0.7358490566037735,0.7254901960784313,1.09560253412318,39,14,0
0.07,16,1.0,0.75,0.7450980392156863,1.1024889571357015,39,13,0
0.07,17,1.0,0.7222222222222222,0.7058823529411765,1.1052715283335124,39,15,0
0.07,18,1.0,0.75,0.7450980392156863,1.106109432846398,39,13,0
0.07,19,1.0,0.7358490566037735,0.7254901960784313,1.1155677557127852,39,14,0
0.07,20,1.0,0.7090909090909091,0.6862745098039216,1.0938214680145333,39,16,0
0.08,1,1.0,0.7647058823529411,0.7647058823529411,1.2455611432647329,39,12,0
0.08,2,1.0,0.6724137931034483,0.6274509803921569,1.1968723154687009,39,19,0
0.08,3,1.0,0.7090909090909091,0.6862745098039216,1.232169335117127,39,16,0
0.08,4,1.0,0.6842105263157895,0.6470588235294118,1.2643505333511018,39,18,0
0.08,5,1.0,0.6842105263157895,0.6470588235294118,1.1998409807321797,39,18,0
0.08,6,1.0,0.6842105263157895,0.6470588235294118,1.2274066245523816,39,18,0
0.08,7,1.0,0.7090909090909091,0.6862745098039216,1.221669293853589,39,16,0
0.08,8,1.0,0.6964285714285714,0.6666666666666666,1.239827341813153,39,17,0
0.08,9,1.0,0.75,0.7450980392156863,1.240089129106587,39,13,0
0.08,10,1.0,0.7647058823529411,0.7647058823529411,1.2432217497123843,39,12,0
0.08,11,1.0,0.6964285714285714,0.6666666666666666,1.2186165157449445,39,17,0
0.08,12,1.0,0.6842105263157895,0.6470588235294118,1.2488049167005588,39,18,0
0.08,13,1.0,0.78,0.7843137254901961,1.2490178213018726,39,11,0
0.08,14,1.0,0.7358490566037735,0.7254901960784313,1.2587753575041811,39,14,0
0.08,15,1.0,0.7222222222222222,0.7058823529411765,1.2327339881086492,39,15,0
0.08,16,1.0,0.7358490566037735,0.7254901960784313,1.240541282107184,39,14,0
0.08,17,1.0,0.6842105263157895,0.6470588235294118,1.244517057373665,39,18,0
0.08,18,1.0,0.7358490566037735,0.7254901960784313,1.246047512100877,39,14,0
0.08,19,1.0,0.7358490566037735,0.7254901960784313,1.2558926476948808,39,14,0
0.08,20,1.0,0.6842105263157895,0.6470588235294118,1.2307415544298028,39,18,0
0.09,1,1.0,0.75,0.7450980392156863,1.3668073805771683,39,13,0
0.09,2,1.0,0.6724137931034483,0.6274509803921569,1.315289185099145,39,19,0
0.09,3,1.0,0.6724137931034483,0.6274509803921569,1.3545575722866665,39,19,0
0.09,4,1.0,0.6610169491525424,0.6078431372549019,1.3840049691678584,39,20,0
0.09,5,1.0,0.6842105263157895,0.6470588235294118,1.321705336015903,39,18,0
0.09,6,1.0,0.6724137931034483,0.6274509803921569,1.3523116984624903,39,19,0
0.09,7,1.0,0.6724137931034483,0.6274509803921569,1.3430752005783035,39,19,0
0.09,8,1.0,0.6724137931034483,0.6274509803921569,1.3612869889303119,39,19,0
0.09,9,1.0,0.7090909090909091,0.6862745098039216,1.3621176671485906,39,16,0
0.09,10,1.0,0.7358490566037735,0.7254901960784313,1.3636997516934246,39,14,0
0.09,11,1.0,0.6724137931034483,0.6274509803921569,1.3408772345258755,39,19,0
0.09,12,1.0,0.6724137931034483,0.6274509803921569,1.3699261612644364,39,19,0
0.09,13,1.0,0.7647058823529411,0.7647058823529411,1.3692787626937037,39,12,0
0.09,14,1.0,0.7090909090909091,0.6862745098039216,1.3802940612190946,39,16,0
0.09,15,1.0,0.6842105263157895,0.6470588235294118,1.3538234402975573,39,18,0
0.09,16,1.0,0.7222222222222222,0.7058823529411765,1.3625513168912404,39,15,0
0.09,17,1.0,0.6610169491525424,0.6078431372549019,1.367481690543626,39,20,0
0.09,18,1.0,0.7222222222222222,0.7058823529411765,1.369587759229918,39,15,0
0.09,19,1.0,0.7358490566037735,0.7254901960784313,1.3794340570982644,39,14,0
0.09,20,1.0,0.6842105263157895,0.6470588235294118,1.3516590125721215,39,18,0
0.1,1,1.0,0.7358490566037735,0.7254901960784313,1.4738418188688285,39,14,0
0.1,2,1.0,0.6724137931034483,0.6274509803921569,1.4202415334734988,39,19,0
0.1,3,1.0,0.65,0.5882352941176471,1.4628712958578707,39,21,0
0.1,4,1.0,0.6610169491525424,0.6078431372549019,1.4890447798636224,39,20,0
0.1,5,1.0,0.6842105263157895,0.6470588235294118,1.4296823403169778,39,18,0
0.1,6,1.0,0.6724137931034483,0.6274509803921569,1.4632417926874064,39,19,0
0.1,7,1.0,0.6610169491525424,0.6078431372549019,1.4505493029788448,39,20,0
0.1,8,1.0,0.6724137931034483,0.6274509803921569,1.468434671905682,39,19,0
0.1,9,1.0,0.6964285714285714,0.6666666666666666,1.4700174352992457,39,17,0
0.1,10,1.0,0.6964285714285714,0.6666666666666666,1.4701506604206527,39,17,0
0.1,11,1.0,0.6724137931034483,0.6274509803921569,1.4494539276265292,39,19,0
0.1,12,1.0,0.6724137931034483,0.6274509803921569,1.476745742835891,39,19,0
0.1,13,1.0,0.7647058823529411,0.7647058823529411,1.475450764005786,39,12,0
0.1,14,1.0,0.6842105263157895,0.6470588235294118,1.4874478275058967,39,18,0
0.1,15,1.0,0.6842105263157895,0.6470588235294118,1.4608605223932807,39,18,0
0.1,16,1.0,0.7358490566037735,0.7254901960784313,1.4705343801756363,39,14,0
0.1,17,1.0,0.65,0.5882352941176471,1.476214394380719,39,21,0
0.1,18,1.0,0.7222222222222222,0.7058823529411765,1.4787233850858166,39,15,0
0.1,19,1.0,0.6842105263157895,0.6470588235294118,1.4882745369663177,39,18,0
0.1,20,1.0,0.6842105263157895,0.6470588235294118,1.4586346295515034,39,18,0
